Frame,Algorithm,Distance,Mean,StdDev
2,ICP,0.0127965,0.0127965,0
3,ICP,0.0213432,0.0170698,0.00427335
4,ICP,0.0179575,0.0173657,0.00351418
5,ICP,0.0185742,0.0176679,0.00308803
6,ICP,0.0176236,0.017659,0.00276207
7,ICP,0.0193795,0.0179457,0.00260167
8,ICP,0.0139355,0.0173729,0.00278765
9,ICP,0.0225869,0.0180246,0.0031262
10,ICP,0.0191958,0.0181547,0.00297031
11,ICP,0.01706,0.0180453,0.00283696
12,ICP,0.0192543,0.0181552,0.00272717
13,ICP,0.0164733,0.018015,0.00265212
14,ICP,0.0172203,0.0179539,0.00255686
15,ICP,0.0158323,0.0178023,0.00252371
16,ICP,0.018297,0.0178353,0.00244126
17,ICP,0.016107,0.0177273,0.00240048
18,ICP,0.015487,0.0175955,0.00238772
19,ICP,0.0185826,0.0176504,0.00233143
20,ICP,0.0170528,0.0176189,0.00227317
21,ICP,0.0170613,0.017591,0.00221894
22,ICP,0.0189822,0.0176573,0.00218564
23,ICP,0.0187507,0.017707,0.0021475
24,ICP,0.0161999,0.0176415,0.00212266
25,ICP,0.0165629,0.0175965,0.00208912
26,ICP,0.0173017,0.0175847,0.00204772
27,ICP,0.0150389,0.0174868,0.00206678
28,ICP,0.0193661,0.0175564,0.00205896
29,ICP,0.0156292,0.0174876,0.00205325
30,ICP,0.015326,0.017413,0.00205573
31,ICP,0.0158023,0.0173593,0.00204175
32,ICP,0.0179979,0.0173799,0.00201172
33,ICP,0.0164785,0.0173518,0.00198624
34,ICP,0.0161432,0.0173152,0.00196685
35,ICP,0.0173893,0.0173173,0.00193775
36,ICP,0.016817,0.017303,0.00191169
37,ICP,0.0210783,0.0174079,0.00198442
38,ICP,0.0157444,0.0173629,0.00197592
39,ICP,0.0215437,0.017473,0.00206141
40,ICP,0.0120116,0.0173329,0.00221034
41,ICP,0.0153004,0.0172821,0.00220548
42,ICP,0.0181646,0.0173036,0.00218267
43,ICP,0.0156732,0.0172648,0.00217081
44,ICP,0.0148145,0.0172078,0.00217697
45,ICP,0.0174159,0.0172126,0.00215231
46,ICP,0.0145385,0.0171531,0.00216446
47,ICP,0.0149381,0.017105,0.00216504
48,ICP,0.014461,0.0170487,0.0021756
49,ICP,0.0147318,0.0170005,0.0021781
